Расходы бюджета города Москвы - всего;0;0;2 375 271 631 400,00;1 433 442 902 374,19;60,35
Реализация комплекса мероприятий по развитию трамвайной инфраструктуры города Москвы;01Б1200000;0;943 797 200,00;5 150 054,12;0,55
Капитальные вложения в объекты государственной (муниципальной) собственности;01Б1200000;400;943 797 200,00;5 150 054,12;0,55
Бюджетные инвестиции;01Б1200000;410;943 797 200,00;5 150 054,12;0,55
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Б1200000;414;943 797 200,00;5 150 054,12;0,55
Расходы на организацию транспортного обслуживания населения автомобильным транспортом;01Б1300000;0;10 692 008 500,00;6 790 720 446,95;63,51
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б1300000;200;10 692 008 500,00;6 790 720 446,95;63,51
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б1300000;240;10 692 008 500,00;6 790 720 446,95;63,51
Прочая закупка товаров, работ и услуг;01Б1300000;244;10 692 008 500,00;6 790 720 446,95;63,51
Приобретение бланков билетов для продажи в салоне подвижного состава коммерческих перевозчиков;01Б1500000;0;108 246 200,00;96 150,00;0,09
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б1500000;200;108 246 200,00;96 150,00;0,09
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б1500000;240;108 246 200,00;96 150,00;0,09
Прочая закупка товаров, работ и услуг;01Б1500000;244;108 246 200,00;96 150,00;0,09
Субсидии юридическим лицам и индивидуальным предпринимателям в целях возмещения части затрат на уплату лизинговых платежей по договорам финансовой аренды (лизинга) транспортных средств, используемых для оказания услуг по транспортному обслуживанию населения на маршрутах регулярных перевозок пассажиров и багажа автомобильным транспортом в городском сообщении;01Б1600000;0;589 953 600,00;;
Иные бюджетные ассигнования;01Б1600000;800;589 953 600,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б1600000;810;589 953 600,00;;
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;01Б1600000;811;589 953 600,00;;
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с выполнением капитального ремонта трамвайных путей, контактно-кабельных сетей и тяговых подстанций;01Б1900000;0;2 500 000 000,00;;
Иные бюджетные ассигнования;01Б1900000;800;2 500 000 000,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б1900000;810;2 500 000 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б1900000;812;2 500 000 000,00;;
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с обновлением подвижного состава наземного городского пассажирского транспорта общего пользования;01Б2100000;0;20 643 723 000,00;2 628 744 600,00;12,73
Иные бюджетные ассигнования;01Б2100000;800;20 643 723 000,00;2 628 744 600,00;12,73
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б2100000;810;20 643 723 000,00;2 628 744 600,00;12,73
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б2100000;812;20 643 723 000,00;2 628 744 600,00;12,73
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с приобретением подвижного состава, используемого для предоставления услуги «социальное такси» инвалидам и многодетным семьям по индивидуальным и коллективным заявкам;01Б2300000;0;99 400 000,00;;
Иные бюджетные ассигнования;01Б2300000;800;99 400 000,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б2300000;810;99 400 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б2300000;812;99 400 000,00;;
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с реализацией мероприятий по организации транспортного обеспечения проведения Кубка конфедераций FIFA 2017 года и чемпионата мира по футболу FIFA 2018 года;01Б2400000;0;59 429 600,00;;
Иные бюджетные ассигнования;01Б2400000;800;59 429 600,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б2400000;810;59 429 600,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б2400000;812;59 429 600,00;;
Грант Ассоциации содействия развитию транспортной отрасли «Транспортная Ассоциация Московской Агломерации» на проведение мероприятий по повышению профессионального уровня водителей организаций, осуществляющих деятельность по перевозке пассажиров и багажа легковым такси и аккредитованных Московской административной дорожной инспекцией;01Б2900000;0;16 800 000,00;;
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;01Б2900000;600;16 800 000,00;;
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);01Б2900000;630;16 800 000,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б2900000;632;16 800 000,00;;
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с созданием и вводом в эксплуатацию некапитальных конечных станций наземного городского пассажирского транспорта общего пользования, включая их техническое присоединение к инженерным коммуникациям, закупку оборудования и обустройство отстойно-разворотных площадок;01Б3000000;0;640 000 000,00;640 000 000,00;100,00
Иные бюджетные ассигнования;01Б3000000;800;640 000 000,00;640 000 000,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б3000000;810;640 000 000,00;640 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б3000000;812;640 000 000,00;640 000 000,00;100,00
Общественный транспорт «Железнодорожный транспорт»;01В0000000;0;14 154 657 400,00;7 338 438 613,28;51,84
Реализация мероприятий по развитию Киевского направления Московской железной дороги, направленных на улучшение предоставления услуг по железнодорожным перевозкам пассажиров в пригородном сообщении;01В0400000;0;5 250 000 000,00;5 250 000 000,00;100,00
Межбюджетные трансферты;01В0400000;500;5 250 000 000,00;5 250 000 000,00;100,00
Иные межбюджетные трансферты;01В0400000;540;5 250 000 000,00;5 250 000 000,00;100,00
Субсидия Государственному унитарному предприятию города Москвы «Московский ордена Ленина и ордена Трудового Красного Знамени метрополитен имени В.И. Ленина» на финансовое обеспечение затрат, связанных с обеспечением транспортного обслуживания населения на Малом кольце Московской железной дороги;01В0800000;0;5 852 657 400,00;;
Иные бюджетные ассигнования;01В0800000;800;5 852 657 400,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01В0800000;810;5 852 657 400,00;;
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01В0800000;812;5 852 657 400,00;;
Субсидия открытому акционерному обществу «Российские железные дороги» на финансовое обеспечение затрат, связанных с содержанием инфраструктуры железнодорожного транспорта при осуществлении перевозок пассажиров на Малом кольце Московской железной дороги;01В0900000;0;2 169 000 000,00;1 205 438 613,28;55,58
Иные бюджетные ассигнования;01В0900000;800;2 169 000 000,00;1 205 438 613,28;55,58
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01В0900000;810;2 169 000 000,00;1 205 438 613,28;55,58
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01В0900000;812;2 169 000 000,00;1 205 438 613,28;55,58
Субсидия открытому акционерному обществу «Российские железные дороги» в целях возмещения затрат, связанных с содержанием инфраструктуры Малого кольца Московской железной дороги и осуществлением перевозок пассажиров на Малом кольце Московской железной дороги в 2016 году;01В1000000;0;883 000 000,00;883 000 000,00;100,00
Иные бюджетные ассигнования;01В1000000;800;883 000 000,00;883 000 000,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01В1000000;810;883 000 000,00;883 000 000,00;100,00
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;01В1000000;811;883 000 000,00;883 000 000,00;100,00
Общественный транспорт «Внутренний водный транспорт»;01Г0000000;0;586 814 100,00;16 205 900,00;2,76
Реализация комплекса мер по реконструкции здания Северного речного вокзала;01Г0200000;0;505 784 600,00;;
Капитальные вложения в объекты государственной (муниципальной) собственности;01Г0200000;400;505 784 600,00;;
Бюджетные инвестиции;01Г0200000;410;82 373 300,00;;
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Г0200000;414;82 373 300,00;;
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;01Г0200000;460;423 411 300,00;;
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;01Г0200000;466;423 411 300,00;;
Субсидия Государственному унитарному предприятию города Москвы «Мосгортранс» на финансовое обеспечение затрат, связанных с содержанием и эксплуатацией здания Северного речного вокзала;01Г0300000;0;81 029 500,00;16 205 900,00;20,00
Иные бюджетные ассигнования;01Г0300000;800;81 029 500,00;16 205 900,00;20,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Г0300000;810;81 029 500,00;16 205 900,00;20,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Г0300000;812;81 029 500,00;16 205 900,00;20,00
Автомобильные дороги и улично-дорожная сеть;01Д0000000;0;283 638 332 300,00;157 216 570 375,67;55,43
Строительство и реконструкция объектов дорожного хозяйства;01Д0100000;0;180 592 921 100,00;74 820 122 315,75;41,43
Капитальные вложения в объекты государственной (муниципальной) собственности;01Д0100000;400;180 592 921 100,00;74 820 122 315,75;41,43
Бюджетные инвестиции;01Д0100000;410;180 518 461 000,00;74 820 122 315,75;41,45
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Д0100000;414;180 518 461 000,00;74 820 122 315,75;41,45
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;01Д0100000;460;74 460 100,00;;
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;01Д0100000;466;74 460 100,00;;
Обеспечение содержания объектов капитального строительства дорожного хозяйства (в том числе сетей инженерно-технического обеспечения) с даты оформления акта приемки объекта капитального строительства до даты оформления имущественных прав на объект капитального строительства;01Д0200000;0;198 724 000,00;7 133 879,93;3,59
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0200000;200;198 724 000,00;7 133 879,93;3,59
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0200000;240;198 724 000,00;7 133 879,93;3,59
Прочая закупка товаров, работ и услуг;01Д0200000;244;198 724 000,00;7 133 879,93;3,59
Ремонт объектов дорожного хозяйства и автомобильных дорог;01Д0300000;0;27 162 805 900,00;25 113 095 133,17;92,45
Ремонт объектов дорожного хозяйства и автомобильных дорог;01Д0300100;0;595 555 200,00;241 721 622,24;40,59
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0300100;200;595 555 200,00;241 721 622,24;40,59
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0300100;240;595 555 200,00;241 721 622,24;40,59
Прочая закупка товаров, работ и услуг;01Д0300100;244;595 555 200,00;241 721 622,24;40,59
Субсидии бюджетам внутригородских муниципальных образований на ремонт объектов дорожного хозяйства;01Д0300200;0;2 427 751 500,00;749 594 135,62;30,88
Межбюджетные трансферты;01Д0300200;500;2 427 751 500,00;749 594 135,62;30,88
Субсидии;01Д0300200;520;2 427 751 500,00;749 594 135,62;30,88
Субсидии, за исключением субсидий на софинансирование капитальных вложений в объекты государственной (муниципальной) собственности;01Д0300200;521;2 427 751 500,00;749 594 135,62;30,88
Реализация мероприятий по ремонту объектов дорожного хозяйства в рамках подготовки к чемпионату мира по футболу FIFA 2018 года;01Д0300300;0;73 901 800,00;56 200 000,00;76,05
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;01Д0300300;600;73 901 800,00;56 200 000,00;76,05
Субсидии бюджетным учреждениям;01Д0300300;610;73 901 800,00;56 200 000,00;76,05
Субсидии бюджетным учреждениям на иные цели;01Д0300300;612;73 901 800,00;56 200 000,00;76,05
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;01Д0308100;0;24 065 597 400,00;24 065 579 375,31;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;01Д0308100;600;24 065 597 400,00;24 065 579 375,31;100,00
Субсидии бюджетным учреждениям;01Д0308100;610;24 065 597 400,00;24 065 579 375,31;100,00
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);01Д0308100;611;24 065 597 400,00;24 065 579 375,31;100,00
Разметка объектов дорожного хозяйства;01Д0400000;0;4 795 561 300,00;4 349 608 324,56;90,70
Разметка объектов дорожного хозяйства;01Д0400100;0;169 982 600,00;114 986 695,67;67,65
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0400100;200;169 982 600,00;114 986 695,67;67,65
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Д0400100;240;169 982 600,00;114 986 695,67;67,65
Прочая закупка товаров, работ и услуг;01Д0400100;244;169 982 600,00;114 986 695,67;67,65
Субсидии бюджетам внутригородских муниципальных образований на разметку объектов дорожного хозяйства;01Д0400200;0;13 725 800,00;4 804 693,08;35,00
Межбюджетные трансферты;01Д0400200;500;13 725 800,00;4 804 693,08;35,00
Субсидии;01Д0400200;520;13 725 800,00;4 804 693,08;35,00
Субсидии, за исключением субсидий на софинансирование капитальных вложений в объекты государственной (муниципальной) собственности;01Д0400200;521;13 725 800,00;4 804 693,08;35,00
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;01Д0408100;0;4 611 852 900,00;4 229 816 935,81;91,72
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;01Д0408100;600;4 611 852 900,00;4 229 816 935,81;91,72
Субсидии бюджетным учреждениям;01Д0408100;610;4 611 852 900,00;4 229 816 935,81;91,72
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);01Д0408100;611;4 611 852 900,00;4 229 816 935,81;91,72
Содержание объектов дорожного хозяйства и автомобильных дорог;01Д0500000;0;43 073 657 900,00;33 240 912 923,69;77,17
